category;title;tags;description;image;duration_txt;duration_sec;first_broadcast;synopsis_small;synopsis_medium;synopsis_large
Arts;Civilisation - 10. The Smile of Reason;BBC, iPlayer, TV, Civilisation, 10. The Smile of Reason;A look at the beginnings of revolutionary politics in the 18th Century.;https://ichef.bbci.co.uk/images/ic/1200x675/p04xl4p2.jpg;49 mins;2939;8:15pm 27 Apr 1969;A look at the beginnings of revolutionary politics in the 18th Century.;Kenneth Clark looks at the beginnings of revolutionary politics in the 18th Century.;Kenneth Clark looks at the beginnings of revolutionary politics in the 18th Century. His theme takes him from great palaces like Blenheim and Versailles, to Edinburgh, and to the hills of Virginia where Thomas Jefferson made his home in the 1760s.
Arts;Inside Culture - Series 4: 1. Why We Laugh;BBC, iPlayer, TV, Inside Culture, Series 4: 1. Why We Laugh;Mary Beard asks why we laugh and explores what laughter can tell us about ourselves.;https://ichef.bbci.co.uk/images/ic/1200x675/p09wqtr5.jpg;29 mins;1759;7:30pm 24 Sep 2021;Mary Beard asks why we laugh and explores what laughter can tell us about ourselves.;Mary Beard asks why we laugh and explores what laughter can tell us about ourselves, our relationships and the world we live in.;Mary Beard asks why we laugh and explores what laughter can tell us about ourselves, our relationships and the world we live in.Mary visits the artist Maggi Hambling in her Suffolk studio to find out why laughter has inspired so much of her work and asks what it’s like trying to capture such a lively and chaotic expression on canvas. In Peterborough, she catches up with comedy icon and writer David Baddiel, who is on the road with his new stand-up tour. They explore the many meanings of laughter, from friendship and joy to cruelty and transgression.Mary is also joined by neuroscientist Prof Sophie Scott and comedians Shaparak Khorsandi and Deborah Frances-White to ask what happens when we laugh. Is it universal? And should we all be taking laughter more seriously?
Arts;Arena - Agatha Christie - Unfinished Portrait;BBC, iPlayer, TV, Arena, Agatha Christie - Unfinished Portrait;Profile celebrating the centenary of the author Agatha Christie’s birth.;https://ichef.bbci.co.uk/images/ic/1200x675/p09t5fjb.jpg;61 mins;3642;20 Sep 1990;Profile celebrating the centenary of the author Agatha Christie’s birth.;Profile celebrating the centenary of the famous author Agatha Christie’s birth. Looking at her life, her character and the key moments in her childhood that influenced her writing.;Profile celebrating the centenary of the famous author Agatha Christie’s birth. Looking at her life, her character and the key moments in her childhood that influenced her writing.
Arts;Fake or Fortune? - Series 9: 4. A King’s Last Supper;BBC, iPlayer, TV, Fake or Fortune?, Series 9: 4. A King’s Last Supper;Could a picture bought online for £50 be a missing 18th-century work by Benjamin West?;https://ichef.bbci.co.uk/images/ic/1200x675/p09rd5kb.jpg;59 mins;3515;9pm 18 Aug 2021;Could a picture bought online for £50 be a missing 18th-century work by Benjamin West?;Anglesey farmer Huw Lewis bought a small painting depicting the Last Supper for £50 on the internet. Can the team prove it’s an eighteenth-century work by the artist Benjamin West?;The team head to the beautiful island of Anglesey at the northernmost tip of Wales, where Huw Lewis has a sheep farm. Huw  frequently spends his evenings scouring the internet for art bargains and was trawling through eBay when he came across a small, unattributed oil sketch of Jesus and the apostles at the Last Supper. He immediately sensed it was something special and was amazed when nobody bid against him. He secured it for just £50. He later learned that it had been in the seller’s family for decades, and they had assumed it to be practically worthless. After doing some online research of his own, Huw thought he might have identified the artist as Benjamin West. Born in Pennsylvania, West left America in his twenties and settled in Britain, where he quickly found fame and fortune. By the late eighteenth century, he was one of the most celebrated artists of the day, renowned for the bold storytelling of his history paintings. Perhaps his biggest fan was King George III, who made West his official history painter. Together they aimed to bring about a magnificent new era in British art.   Huw’s picture is an unusual one, as it is a small canvas that appears to be semi-finished. It’s partly painted in oils, but also visible are bold, black lines delineating the figures. After examining the picture closely, Philip is intrigued by it but is also worried by its condition. It appears to have been scrubbed in places, and layers of dirt have built up over the years. There’s also no signature, which, given West was very good at promoting himself and his work, is concerning. But Fiona discovers that Benjamin West was commissioned by King George III to paint two paintings of the Last Supper for chapels at Windsor Castle, and at the Royal Academy of Arts she discovers that one of the preparatory sketches for those paintings hasn’t been seen for a century. Could it be that Huw’s internet bargain is the missing West sketch? Forensic science will be key, as a genuine eighteenth-century picture could reveal some more unusual ingredients, and West was known to experiment with paints. At her laboratory in the Courtauld Institute of Art, Professor Aviva Burnstock examines the picture and reveals some surprising details that the naked eye would never see. But this proves to be one of the team’s most difficult investigations. As well as the worrying condition of the picture, they face a provenance trail that should stretch back more than two hundred years. There’s also the added challenge of doing research in the midst of lockdown. With the odds so stacked against them, can they prove that Huw’s internet bargain is actually a long-lost work fit for a king?
Arts;Andy Warhol's America - Series 1: 2. The American Nightmare;BBC, iPlayer, TV, Andy Warhols America, Series 1: 2. The American Nightmare;Charting Warhols response to the major historical events in America.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b6zyfz.jpg;59 mins;3568;6 Jan 2022;Charting Warhol's response to the major historical events in America.;Charting Andy Warhol’s response to major events in the Sixties and how he faced his own nightmare when he was shot by an associate.;No data found
Arts;Firestarter: The Story of Bangarra;BBC, iPlayer, TV, Firestarter: The Story of Bangarra;How an Indigenous Australian dance group became a cultural powerhouse.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bnfjkz.jpg;58 mins;3479;9pm 20 Feb 2022;How an Indigenous Australian dance group became a cultural powerhouse.;Documentary that recounts how three young brothers turned an Indigenous Australian dance group into a First Nations cultural powerhouse.;Marking the thirtieth birthday in 2019 of Bangarra Dance Theatre – an Indigenous Australian and Torres Strait Islander organisation, and one of Australia's leading performing arts companies – Firestarter takes audiences on a tour of Bangarra’s birth and spectacular growth. It presents its founders and tells the story of how three young Indigenous Australian brothers – Stephen, David and Russell Page – turned the newly born dance group into a First Nations cultural powerhouse. Through the eyes of the brothers and company alumni, Firestarter explores the loss and reclaiming of culture, the burden of intergenerational trauma and – crucially – the power of art as a messenger for social change and healing.
Arts;Inside Cinema - Shorts: 76. The B Word;BBC, iPlayer, TV, Inside Cinema, Shorts: 76. The B Word;The B in LGBTQ+ sometimes gets shortchanged in cinema - Catherine Bray asks why.;https://ichef.bbci.co.uk/images/ic/1200x675/p09xwbv2.jpg;7 mins;437;13 Oct 2021;The B in LGBTQ+ sometimes gets shortchanged in cinema - Catherine Bray asks why.;Just because cinema doesn’t feature loads of out and proud bisexuals in lead roles, doesn’t mean bisexuality doesn’t exist! Catherine Bray explores bisexual representation in film;People who are actually attracted to more than one gender are everywhere in the real world, whether they decide to call themselves straight, homosexual, bisexual, pansexual — or prefer not to label their sexuality. But bisexuality is more often hinted at or implied in cinema, and when bisexuality is mentioned by name, it’s not always exactly flattering. But just because the movies don’t feature loads of out and proud bisexuals in lead roles, doesn’t mean bisexual behaviour, coded or otherwise, isn’t a big part of cinema — whether or not the B-word is ever mentioned. Catherine Bray looks at bisexuality onscreen, to see how bisexuals have been characterised — and mischaracterised — in pop culture.
Arts;Between the Covers  - Series 2: Episode 3;BBC, iPlayer, TV, Between the Covers , Series 2: Episode 3;Sara is joined by David Baddiel, Adjoa Andoh, Phil Davis and Katherine Ryan.;https://ichef.bbci.co.uk/images/ic/1200x675/p09hv75p.jpg;29 mins;1739;7:30pm 24 May 2021;Sara is joined by David Baddiel, Adjoa Andoh, Phil Davis and Katherine Ryan.;Sara is joined by author and comedian David Baddiel, actors Adjoa Andoh and Phil Davis, and comedian Katherine Ryan to share their favourite books and review this week’s two book club picks.;Sara is joined by author and comedian David Baddiel, actors Adjoa Andoh and Phil Davis, and comedian Katherine Ryan. They will all be sharing their favourite books as well as reviewing this week’s two book club picks: Our Big Hitter from last year, The Girl With The Louding Voice by Abi Daré, and our new book pick, Sixteen Horses by debut author Greg Buchanan.
Arts;The Band - Series 2: Episode 3;BBC, iPlayer, TV, The Band, Series 2: Episode 3;The Graham family from Rathfriland prepare for their band’s annual tractor run.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bfr9s9.jpg;28 mins;1680;10:40pm 19 Jan 2022;The Graham family from Rathfriland prepare for their band’s annual tractor run.;The Graham family from Rathfriland prepare for their band’s annual tractor run, while Andrew McConnell and his son Christopher from Annalong explore shared passions for drums and boats.;The Graham family from Rathfriland prepare for their band’s annual tractor run, while Andrew McConnell and his son Christopher from Annalong explore shared passions for drums, boats and volunteering with the RNLI. The Brodison boys from Magheramorne, raised in a band family, are on the cusp on manhood, and their futures with the band hang in the balance.
Arts;New Creatives - Swiped;BBC, iPlayer, TV, New Creatives, Swiped;A dating app in the near future promises to bring people together, but old habits die hard;https://ichef.bbci.co.uk/images/ic/1200x675/p081nyqg.jpg;5 mins;319;22 Nov 2019;A dating app in the near future promises to bring people together, but old habits die hard;A dating app in the near future promises to bring people together, but old habits die hard.;A dating app in the near future promises to bring people together, but old habits die hard.New Creatives is co-funded by Arts Council England and BBC Arts.
